condition,drugName,rating,usefulCount
Birth Control,Ethinyl estradiol / levonorgestrel,7,0
Birth Control,Liletta,6,2
Birth Control,Nexplanon,5,10
Birth Control,Blisovi Fe 1 / 20,6,3
Depression,Pristiq,1,12
Depression,Zoloft,10,179
Birth Control,Skyla,4,6
Birth Control,Ethinyl estradiol / levonorgestrel,8,6
Birth Control,Loestrin 24 Fe,9,0
Depression,Sertraline,6,25
Birth Control,Ethinyl estradiol / norethindrone,10,14
Birth Control,Junel Fe 1 / 20,10,13
Birth Control,Loestrin 24 Fe,5,3
"Diabetes, Type 2",Exenatide,1,29
Birth Control,Nexplanon,9,5
Birth Control,Sprintec,9,27
Birth Control,Sprintec,10,8
Birth Control,Ocella,9,3
Birth Control,Ethinyl estradiol / levonorgestrel,6,3
Birth Control,Ethinyl estradiol / norelgestromin,1,6
Birth Control,Ortho Tri-Cyclen Lo,10,13
Birth Control,Seasonique,8,6
Birth Control,Mirena,1,20
Birth Control,Ethinyl estradiol / norethindrone,1,7
Birth Control,Junel Fe 1 / 20,1,9
Birth Control,Orsythia,8,2
Birth Control,Ethinyl estradiol / norethindrone,3,5
Birth Control,Ethinyl estradiol / norethindrone,2,5
Birth Control,Nexplanon,7,6
Depression,Venlafaxine,9,1
Birth Control,Sprintec,6,0
Depression,Viibryd,9,38
Birth Control,Ethinyl estradiol / etonogestrel,5,9
Birth Control,Ethinyl estradiol / etonogestrel,6,0
Birth Control,Lo Loestrin Fe,4,14
Depression,Effexor,9,22
Birth Control,Etonogestrel,10,5
Depression,Zyprexa,7,83
Birth Control,Lo Loestrin Fe,8,7
Depression,Venlafaxine,1,10
Birth Control,Ethinyl estradiol / norethindrone,1,3
Birth Control,Depo-Provera Contraceptive,2,1
Birth Control,Etonogestrel,5,1
Birth Control,TriNessa,1,5
"Diabetes, Type 2",Trulicity,3,17
"Diabetes, Type 2",Sitagliptin,10,43
Birth Control,Ethinyl estradiol / norethindrone,1,4
Depression,Venlafaxine,10,39
Depression,Cymbalta,9,19
Depression,Desvenlafaxine,3,13
Birth Control,Ethinyl estradiol / levonorgestrel,7,3
Birth Control,Yaz,9,16
Depression,Effexor XR,9,8
Birth Control,Etonogestrel,8,3
Depression,Duloxetine,10,27
High Blood Pressure,Lisinopril,7,26
Depression,Duloxetine,10,32
Depression,Rexulti,10,45
Depression,Zoloft,10,102
Birth Control,Skyla,10,3
Birth Control,Levonorgestrel,9,2
Birth Control,Norethindrone,1,8
Birth Control,Sprintec,8,1
Birth Control,Ethinyl estradiol / norethindrone,1,11
Birth Control,Ethinyl estradiol / etonogestrel,7,0
Birth Control,Ethinyl estradiol / norethindrone,2,8
Birth Control,Orsythia,2,7
Depression,Viibryd,3,61
Depression,Quetiapine,9,7
Birth Control,Ethinyl estradiol / etonogestrel,7,8
Birth Control,Minastrin 24 Fe,9,0
Birth Control,Mirena,10,6
Birth Control,Ethinyl estradiol / norelgestromin,3,0
Birth Control,Mononessa,1,5
Birth Control,Levonorgestrel,5,4
Birth Control,Levonorgestrel,6,6
Birth Control,Lo Loestrin Fe,9,7
Birth Control,Copper,9,2
Birth Control,Etonogestrel,10,7
Birth Control,Etonogestrel,1,2
Depression,Sertraline,9,85
Birth Control,Etonogestrel,7,3
Birth Control,Levora,3,4
"Diabetes, Type 2",Empagliflozin,9,12
Birth Control,Ethinyl estradiol / norethindrone,4,7
Birth Control,Jolessa,3,3
Depression,Venlafaxine,9,1
Birth Control,Ethinyl estradiol / norelgestromin,8,3
Birth Control,Etonogestrel,8,8
Birth Control,Cryselle,9,3
Birth Control,Ethinyl estradiol / norethindrone,10,3
Birth Control,Ethinyl estradiol / levonorgestrel,1,2
Birth Control,Etonogestrel,1,1
"Diabetes, Type 2",Trulicity,2,11
Birth Control,Ortho Evra,10,6
Birth Control,Sprintec,9,9
High Blood Pressure,Toprol-XL,5,60
Birth Control,Drospirenone / ethinyl estradiol,1,5
Birth Control,Ethinyl estradiol / norethindrone,7,1
Depression,Zoloft,10,129
Birth Control,Etonogestrel,5,2
High Blood Pressure,Losartan,1,124
Birth Control,Drospirenone / ethinyl estradiol,5,4
Birth Control,Sharobel,10,1
Depression,Pristiq,8,81
Depression,Desvenlafaxine,1,35
Birth Control,Apri,2,0
Birth Control,Sprintec,5,2
Birth Control,Nexplanon,8,0
Depression,Fluoxetine,10,88
Depression,Venlafaxine,9,6
High Blood Pressure,Hydrochlorothiazide,6,36
"Diabetes, Type 2",Liraglutide,1,7
Depression,Aripiprazole,1,41
Depression,Citalopram,2,6
Birth Control,Ethinyl estradiol / norgestimate,10,4
Birth Control,Skyla,8,3
Birth Control,Lo Loestrin Fe,5,5
Birth Control,Etonogestrel,10,2
Birth Control,Jolivette,2,6
Birth Control,Ethinyl estradiol / levonorgestrel,3,5
Depression,Pristiq,9,63
High Blood Pressure,Azor,7,6
Birth Control,NuvaRing,5,10
Depression,Pristiq,8,20
Depression,Viibryd,8,29
Depression,Levomilnacipran,2,66
Birth Control,Velivet,5,2
Depression,Viibryd,10,97
Birth Control,Necon 1 / 35,2,16
Birth Control,Medroxyprogesterone,1,7
Depression,Citalopram,3,11
Depression,Fluoxetine,9,122
Birth Control,Ethinyl estradiol / norgestimate,10,1
Depression,Viibryd,8,15
Birth Control,Ethinyl estradiol / levonorgestrel,9,2
Birth Control,Skyla,1,8
Birth Control,Sprintec,1,3
Birth Control,Ethinyl estradiol / norgestimate,7,9
Birth Control,Nora-Be,7,10
High Blood Pressure,Metoprolol,10,83
Depression,St. john's wort,10,20
Birth Control,Lo Loestrin Fe,3,6
Birth Control,Drospirenone / ethinyl estradiol,5,2
Birth Control,Microgestin Fe 1 / 20,1,5
Depression,Vilazodone,8,57
Birth Control,Nexplanon,9,2
Depression,Citalopram,8,79
Birth Control,Implanon,10,3
Birth Control,Copper,9,12
Depression,Wellbutrin XL,8,52
Birth Control,Depo-Provera,10,2
Birth Control,Ethinyl estradiol / norethindrone,10,4
Depression,Emsam,8,51
High Blood Pressure,Diovan,4,92
High Blood Pressure,Lisinopril,4,26
Depression,Escitalopram,9,2
Depression,Pristiq,8,15
Depression,Bupropion,10,41
Birth Control,Levonorgestrel,6,7
Birth Control,Kyleena,8,1
Depression,Desvenlafaxine,8,81
"Diabetes, Type 2",Toujeo,9,8
Birth Control,Junel Fe 1 / 20,7,3
Depression,Desvenlafaxine,7,27
Birth Control,Ethinyl estradiol / norgestimate,10,15
Depression,Bupropion,10,88
Depression,Desvenlafaxine,1,13
Birth Control,Camrese,1,31
Birth Control,Junel Fe 1.5 / 30,4,1
High Blood Pressure,Losartan,7,38
Depression,Zoloft,8,137
"Diabetes, Type 2",Empagliflozin / linagliptin,10,10
Birth Control,Nexplanon,10,9
Birth Control,Mirena,9,17
Depression,Pristiq,10,35
Birth Control,Levora,9,10
Birth Control,Drospirenone / ethinyl estradiol,10,13
Depression,Bupropion,2,40
Depression,Citalopram,10,17
Birth Control,Nexplanon,1,2
Birth Control,Implanon,10,42
Birth Control,Etonogestrel,1,7
Birth Control,Ethinyl estradiol / norelgestromin,3,3
"Diabetes, Type 2",Jardiance,1,8
Birth Control,Etonogestrel,1,4
Depression,Aripiprazole,10,50
Birth Control,Desogestrel / ethinyl estradiol,5,7
Birth Control,Etonogestrel,10,15
Depression,Celexa,10,32
Birth Control,Medroxyprogesterone,8,4
Birth Control,Beyaz,10,20
Depression,Aripiprazole,3,94
Birth Control,Etonogestrel,1,1
Birth Control,Microgestin Fe 1 / 20,10,16
Birth Control,Ethinyl estradiol / norethindrone,9,0
Depression,Vortioxetine,1,50
Depression,Fluoxetine,9,126
Birth Control,Nexplanon,2,8
Birth Control,Levonorgestrel,10,2
Birth Control,Norethindrone,10,8
"Diabetes, Type 2",Toujeo,5,10
Birth Control,Mirena,10,0
Depression,Lexapro,9,36
Depression,Sertraline,10,45
Birth Control,Etonogestrel,5,4
Birth Control,Ethinyl estradiol / norgestimate,1,4
High Blood Pressure,Ramipril,7,52
Depression,Paxil,8,13
Birth Control,Ethinyl estradiol / norgestimate,7,2
Birth Control,Etonogestrel,9,8
Depression,Celexa,5,25
Birth Control,Nexplanon,3,5
Birth Control,Ethinyl estradiol / norgestimate,9,27
Birth Control,Ethinyl estradiol / norgestimate,1,2
Depression,Desvenlafaxine,9,9
Birth Control,Cryselle,8,16
Birth Control,Skyla,10,4
High Blood Pressure,Hydrochlorothiazide,1,36
Birth Control,Apri,8,1
Birth Control,Copper,10,8
Depression,Bupropion,9,43
Birth Control,Etonogestrel,9,9
Depression,Vilazodone,3,9
Birth Control,Errin,6,7
Birth Control,Medroxyprogesterone,1,2
Birth Control,Ethinyl estradiol / norethindrone,8,13
Birth Control,Nexplanon,9,12
"Diabetes, Type 2",Exenatide,8,3
High Blood Pressure,Valsartan,6,40
Birth Control,Loestrin 24 Fe,10,1
Birth Control,Ethinyl estradiol / norethindrone,10,11
Birth Control,Etonogestrel,9,2
Birth Control,Ethinyl estradiol / etonogestrel,3,0
Depression,Trintellix,9,127
Birth Control,Aviane,9,3
Birth Control,Ethinyl estradiol / etonogestrel,8,3
Birth Control,Ethinyl estradiol / norgestimate,5,3
Birth Control,Ethinyl estradiol / levonorgestrel,3,6
Birth Control,Levonorgestrel,10,11
Birth Control,Implanon,6,0
Birth Control,Levonorgestrel,8,3
Birth Control,Levonorgestrel,1,1
Birth Control,Ortho Evra,8,2
Birth Control,Ethinyl estradiol / norethindrone,8,20
Birth Control,Levonorgestrel,1,4
Birth Control,Desogestrel / ethinyl estradiol,7,4
Birth Control,Ethinyl estradiol / norethindrone,8,7
Birth Control,Ethinyl estradiol / norgestimate,9,5
Birth Control,Estarylla,9,0
Birth Control,Skyla,9,1
Birth Control,Desogestrel / ethinyl estradiol,10,4
Birth Control,Ethinyl estradiol / norethindrone,9,3
Depression,Prozac,8,44
Depression,Desvenlafaxine,3,13
Depression,Venlafaxine,1,15
Depression,Duloxetine,9,68
Birth Control,ParaGard,10,7
Birth Control,Skyla,1,7
Birth Control,Etonogestrel,9,19
Birth Control,Etonogestrel,8,4
Birth Control,Levonorgestrel,8,21
Birth Control,Etonogestrel,2,1
Birth Control,Ethinyl estradiol / norgestimate,4,1
Birth Control,Skyla,5,4
Birth Control,Ethinyl estradiol / levonorgestrel,4,1
High Blood Pressure,Diltiazem,9,39
Birth Control,Ortho Tri-Cyclen Lo,4,6
Birth Control,Levonorgestrel,6,13
Birth Control,Ethinyl estradiol / norgestrel,8,5
Depression,Effexor,2,32
Birth Control,Implanon,7,5
"Diabetes, Type 2",Sitagliptin,10,77
Depression,Aripiprazole,10,160
Birth Control,NuvaRing,9,10
Birth Control,Orsythia,3,8
Birth Control,Etonogestrel,6,3
Depression,Venlafaxine,9,43
High Blood Pressure,Propranolol,8,57
Depression,Prozac,7,73
Birth Control,Etonogestrel,7,0
Depression,Venlafaxine,10,172
Birth Control,Ethinyl estradiol / levonorgestrel,8,1
High Blood Pressure,Lisinopril,9,41
Birth Control,Etonogestrel,9,32
"Diabetes, Type 2",Bydureon,8,55
Birth Control,Implanon,10,5
Depression,Lamotrigine,2,4
Birth Control,Lutera,9,13
Depression,Bupropion,10,97
Depression,Desvenlafaxine,5,22
Birth Control,NuvaRing,10,7
Depression,Isocarboxazid,8,28
Birth Control,Apri,9,5
Birth Control,Ethinyl estradiol / norgestimate,10,0
Depression,Bupropion,9,93
Birth Control,Ocella,9,1
Birth Control,Lutera,10,10
Birth Control,Implanon,3,9
Birth Control,Implanon,6,17
Birth Control,Ethinyl estradiol / norethindrone,1,16
Birth Control,Ethinyl estradiol / levonorgestrel,3,9
Birth Control,Lo Loestrin Fe,10,18
Birth Control,NuvaRing,5,2
"Diabetes, Type 2",Dapagliflozin,1,0
"Diabetes, Type 2",Tresiba,10,21
Birth Control,Nexplanon,8,3
Birth Control,Etonogestrel,10,10
Birth Control,Etonogestrel,4,0
Birth Control,Orsythia,8,10
Birth Control,Ethinyl estradiol / levonorgestrel,10,44
Depression,Pristiq,6,45
Birth Control,Ethinyl estradiol / levonorgestrel,10,8
Depression,Limbitrol,10,30
High Blood Pressure,Lisinopril,10,102
Birth Control,Etonogestrel,1,1
Depression,Venlafaxine,2,23
Depression,Sertraline,8,24
Birth Control,Drospirenone / ethinyl estradiol,8,2
Birth Control,Etonogestrel,3,1
High Blood Pressure,Lisinopril,5,20
Birth Control,Nexplanon,2,2
Birth Control,Ethinyl estradiol / norethindrone,1,1
Birth Control,Sronyx,2,9
Depression,Paroxetine,8,13
"Diabetes, Type 2",Canagliflozin,1,17
Birth Control,Sronyx,7,4
Depression,Paxil,4,26
Depression,Escitalopram,9,60
Birth Control,LoSeasonique,5,0
Birth Control,Nexplanon,4,3
Depression,Celexa,8,15
Birth Control,Ethinyl estradiol / levonorgestrel,1,1
Birth Control,Etonogestrel,10,0
Depression,Wellbutrin,10,105
Birth Control,Sprintec,1,0
Depression,Deplin,10,101
Birth Control,Etonogestrel,5,0
Birth Control,Etonogestrel,9,4
Birth Control,Ethinyl estradiol / norgestimate,10,9
Birth Control,Levonorgestrel,8,2
Depression,Serzone,10,61
Birth Control,Desogestrel / ethinyl estradiol,9,2
Birth Control,Cryselle,1,4
Birth Control,Ortho Cyclen,9,7
Birth Control,Minastrin 24 Fe,3,7
Depression,Desvenlafaxine,10,26
Birth Control,Ethinyl estradiol / norethindrone,1,3
Birth Control,ParaGard,10,9
Birth Control,Ethinyl estradiol / levonorgestrel,2,31
Depression,Levomilnacipran,5,20
Birth Control,Etonogestrel,5,5
Depression,Lamotrigine,7,11
High Blood Pressure,Sectral,9,14
Birth Control,Nexplanon,8,15
"Diabetes, Type 2",Dulaglutide,10,48
Birth Control,Copper,10,10
Birth Control,Ethinyl estradiol / norethindrone,1,1
Birth Control,Beyaz,6,8
Birth Control,Cryselle,5,3
Birth Control,Levonorgestrel,6,8
Depression,Desvenlafaxine,5,6
Birth Control,Kyleena,5,3
Birth Control,Nexplanon,4,4
Birth Control,Nexplanon,7,2
Birth Control,Camrese,10,0
Depression,Bupropion,5,42
Depression,Venlafaxine,1,25
Birth Control,Etonogestrel,10,1
Birth Control,Lo Loestrin Fe,9,9
"Diabetes, Type 2",Kombiglyze XR,3,0
Depression,Vilazodone,1,41
Depression,Fluoxetine,7,28
Depression,Bupropion,1,30
Depression,Bupropion,3,3
Birth Control,Etonogestrel,10,10
Birth Control,Ethinyl estradiol / norethindrone,10,16
Birth Control,Ethinyl estradiol / levonorgestrel,9,1
Birth Control,Implanon,10,1
Depression,Citalopram,3,29
Depression,Viibryd,10,276
Birth Control,ParaGard,1,0
Depression,Citalopram,9,37
Birth Control,Ethinyl estradiol / levonorgestrel,6,6
Birth Control,Copper,1,5
Birth Control,Xulane,5,7
Birth Control,Kyleena,8,1
Birth Control,Ethinyl estradiol / norethindrone,10,8
Birth Control,Etonogestrel,6,1
"Diabetes, Type 2",Invokana,1,28
Depression,Bupropion,10,42
Birth Control,Microgestin Fe 1 / 20,3,0
High Blood Pressure,Hydrochlorothiazide / telmisartan,8,15
Birth Control,Microgestin Fe 1 / 20,7,5
Birth Control,Etonogestrel,4,4
High Blood Pressure,Metoprolol,7,10
Birth Control,Levora,9,3
Depression,Fluoxetine,9,1
Birth Control,Drospirenone / ethinyl estradiol,6,0
Birth Control,Etonogestrel,4,1
Birth Control,Implanon,1,4
Birth Control,TriNessa,8,22
Birth Control,Skyla,3,7
High Blood Pressure,Bystolic,5,47
"Diabetes, Type 2",Metformin,1,21
Birth Control,Ethinyl estradiol / norgestimate,4,3
Depression,Citalopram,10,18
Birth Control,Alesse,10,0
Birth Control,Camrese,4,8
Depression,Escitalopram,5,5
Birth Control,Depo-Provera,5,4
High Blood Pressure,Bisoprolol / hydrochlorothiazide,2,9
"Diabetes, Type 2",Dulaglutide,9,22
Birth Control,Nora-Be,4,3
Depression,Bupropion,1,20
Birth Control,Etonogestrel,3,13
Birth Control,Copper,10,24
High Blood Pressure,Diovan,3,66
Depression,Citalopram,8,22
Depression,Xanax,10,121
Birth Control,Tri-Lo-Sprintec,10,0
Birth Control,Ethinyl estradiol / levonorgestrel,8,6
"Diabetes, Type 2",Victoza,10,30
Depression,Venlafaxine,8,11
Birth Control,Levonorgestrel,10,2
Birth Control,Medroxyprogesterone,10,15
Depression,Venlafaxine,1,17
Depression,Effexor XR,9,62
High Blood Pressure,Hydrochlorothiazide,1,37
Birth Control,Ethinyl estradiol / norgestimate,3,1
Birth Control,Nexplanon,10,5
Birth Control,Aviane,9,1
"Diabetes, Type 2",Levemir,3,10
Birth Control,Ethinyl estradiol / levonorgestrel,8,11
Depression,Lamotrigine,9,76
Birth Control,Reclipsen,9,19
Birth Control,Ethinyl estradiol / norgestimate,1,2
Birth Control,Loestrin 24 Fe,5,0
Depression,Citalopram,8,771
Birth Control,Mirena,10,0
Depression,Bupropion,8,29
Birth Control,Drospirenone / ethinyl estradiol,2,5
Depression,Levomilnacipran,1,34
Birth Control,Etonogestrel,2,2
Depression,Paroxetine,6,17
Birth Control,Microgestin Fe 1 / 20,9,0
"Diabetes, Type 2",Jardiance,8,15
Depression,Zoloft,9,27
Birth Control,Ethinyl estradiol / norethindrone,1,16
Birth Control,Ethinyl estradiol / levonorgestrel,9,0
Depression,Duloxetine,10,61
Birth Control,Tri-Previfem,4,7
Birth Control,Kyleena,9,1
Birth Control,NuvaRing,8,0
Birth Control,Nexplanon,8,9
Depression,Cymbalta,6,47
Birth Control,ParaGard,1,10
Depression,Viibryd,2,10
Birth Control,Aubra,9,7
Depression,Pristiq,10,12
Birth Control,Apri,3,2
Birth Control,Desogestrel / ethinyl estradiol,5,7
Depression,Citalopram,10,22
Depression,Pristiq,5,13
Birth Control,Loestrin 24 Fe,8,7
Birth Control,Seasonique,4,3
Birth Control,Xulane,6,5
Birth Control,Apri,5,0
Birth Control,Drospirenone / ethinyl estradiol,3,59
"Diabetes, Type 2",Dulaglutide,10,36
Birth Control,Ortho Evra,8,8
Birth Control,Implanon,10,1
Birth Control,Ethinyl estradiol / norethindrone,1,2
"Diabetes, Type 2",Victoza,7,8
Birth Control,Gildess Fe 1 / 20,4,2
High Blood Pressure,Lisinopril,1,37
Birth Control,Tri-Sprintec,10,18
Depression,Effexor XR,8,34
Birth Control,Ethinyl estradiol / norethindrone,1,2
Birth Control,Depo-Provera,3,2
Birth Control,Ortho Evra,10,30
Birth Control,Etonogestrel,9,0
Depression,Bupropion,9,34
Depression,Trintellix,5,45
Birth Control,Levonorgestrel,1,8
Birth Control,Sprintec,2,25
High Blood Pressure,Nebivolol,6,45
Birth Control,Etonogestrel,9,0
Birth Control,Ethinyl estradiol / norgestimate,10,10
Birth Control,Skyla,1,6
High Blood Pressure,Hydrochlorothiazide / lisinopril,4,61
Birth Control,Drospirenone / ethinyl estradiol / levomefolate calcium,10,10
Birth Control,Levonorgestrel,1,6
High Blood Pressure,Amlodipine,1,110
Depression,Parnate,10,29
Birth Control,Etonogestrel,10,11
Birth Control,Etonogestrel,1,1
Birth Control,Ethinyl estradiol / etonogestrel,9,9
Birth Control,Ethinyl estradiol / norethindrone,9,1
Birth Control,Desogestrel / ethinyl estradiol,2,6
Birth Control,Seasonique,10,6
Birth Control,Levonorgestrel,3,6
"Diabetes, Type 2",Empagliflozin,3,25
Birth Control,Levonorgestrel,10,15
Birth Control,Levonorgestrel,10,1
Birth Control,TriNessa,10,81
"Diabetes, Type 2",Dulaglutide,7,1
Birth Control,Jolivette,8,26
High Blood Pressure,Hydrochlorothiazide,9,0
Birth Control,Tri-Sprintec,10,27
Birth Control,Medroxyprogesterone,10,4
Depression,Vilazodone,1,16
Depression,Wellbutrin XL,4,12
Depression,Pristiq,1,34
Birth Control,Sprintec,1,7
"Diabetes, Type 2",Insulin glargine,5,8
Depression,Pristiq,1,16
Birth Control,Implanon,2,9
Birth Control,Ethinyl estradiol / norgestimate,1,6
Birth Control,Ethinyl estradiol / norethindrone,8,3
Birth Control,Nexplanon,10,11
Birth Control,Ethinyl estradiol / norgestimate,4,2
Birth Control,Norethindrone,9,10
Birth Control,Beyaz,5,2
Birth Control,Blisovi 24 Fe,5,4
Birth Control,Etonogestrel,1,5
Birth Control,Norethindrone,10,4
Birth Control,Nexplanon,10,4
Depression,Vortioxetine,1,5
Depression,Celexa,9,46
Depression,Sertraline,9,24
Birth Control,Etonogestrel,6,0
Birth Control,Ethinyl estradiol / levonorgestrel,10,14
Depression,Lexapro,7,113
Birth Control,Ethinyl estradiol / levonorgestrel,3,6
Birth Control,Etonogestrel,9,5
Birth Control,Medroxyprogesterone,1,1
Birth Control,Ethinyl estradiol / norgestimate,9,10
High Blood Pressure,Bystolic,9,98
Depression,Escitalopram,10,5
Birth Control,Ethinyl estradiol / norethindrone,1,0
Depression,Zoloft,10,123
Birth Control,Cryselle,9,2
Depression,Elavil,9,152
Birth Control,Ethinyl estradiol / levonorgestrel,4,1
Birth Control,Nexplanon,7,0
Depression,Wellbutrin XL,10,64
Birth Control,Nexplanon,2,2
Birth Control,Depo-Provera,10,6
Birth Control,Aviane,10,8
Birth Control,Desogestrel / ethinyl estradiol,1,3
Birth Control,Ethinyl estradiol / levonorgestrel,2,2
Birth Control,Ethinyl estradiol / norelgestromin,1,12
Birth Control,Depo-Provera,10,15
Birth Control,Portia,3,0
Birth Control,Medroxyprogesterone,1,3
Birth Control,Drospirenone / ethinyl estradiol,8,18
Birth Control,Ethinyl estradiol / norgestimate,9,0
"Diabetes, Type 2",Dapagliflozin,2,0
High Blood Pressure,Amlodipine / benazepril,10,21
High Blood Pressure,Amlodipine,9,24
Birth Control,Etonogestrel,4,7
Depression,Zoloft,1,34
Birth Control,Etonogestrel,3,6
Birth Control,Ethinyl estradiol / norethindrone,8,5
Birth Control,Nexplanon,10,1
Birth Control,Ethinyl estradiol / norelgestromin,1,10
Birth Control,Nexplanon,5,1
Depression,Desvenlafaxine,2,29
Depression,Celexa,10,33
Depression,Vortioxetine,7,31
Depression,Effexor XR,9,59
Birth Control,Microgestin Fe 1 / 20,1,8
Birth Control,Etonogestrel,4,12
Birth Control,Levonorgestrel,10,5
Depression,Zyprexa,2,117
Birth Control,Ethinyl estradiol / levonorgestrel,1,0
Birth Control,Junel Fe 1 / 20,9,11
Birth Control,Ethinyl estradiol / norethindrone,4,2
Birth Control,Norethindrone,5,4
Depression,Escitalopram,7,118
Birth Control,Ethinyl estradiol / norethindrone,3,19
Birth Control,Implanon,7,4
Birth Control,Loestrin 24 Fe,8,2
High Blood Pressure,Atenolol,10,12
Birth Control,Nexplanon,8,21
Birth Control,Lo Loestrin Fe,5,6
Birth Control,NuvaRing,10,0
Birth Control,TriNessa,10,6
Depression,Aripiprazole,1,26
Birth Control,Viorele,1,3
Birth Control,Ethinyl estradiol / levonorgestrel,1,1
Depression,Wellbutrin SR,10,85
Birth Control,Etonogestrel,5,35
Birth Control,Tri-Lo-Sprintec,6,3
Depression,Paxil,8,27
